Entry	Name	Permitivity	MolarMass	Density	vdW-Volume
1	Acetaldehyde	21	44.052	0.7834	44.85565
2	AceticAcid	6.2	60.052	1.0446	52.61955
3	Acetone	21.01	58.079	0.7845	60.09032
4	Acetonitrile	36.64	41.052	0.7857	43.40339
5	Acetophenone	17.44	120.149	1.0281	113.22710
6	Aniline	7.06	93.127	1.0217	89.28450
7	Anisole	4.3	108.138	0.994	102.40152
8	Argon	1.3247	39.948	1.396	27.83000
9	Benzaldehyde	17.85	106.122	1.0401	98.11838
10	Benzene	2.2825	78.112	0.8765	78.85700
11	Benzonitrile	25.9	103.122	1.0093	96.67664
12	BenzylAlcohol	11.916	108.138	1.0419	102.36933
13	Bromobenzene	5.45	157.008	1.495	97.60986
14	Bromoethane	9.01	108.965	1.4604	59.92639
15	Bromoform	4.404	252.731	2.8788	82.49805
16	1-Bromo-2-methylpropane	7.7	137.018	1.272	90.43312
17	1-Bromooctane	5.0957	193.125	1.1072	151.73817
18	1-Bromopentane	6.31	151.045	1.2182	105.82760
19	1-Bromopropane	8.09	122.992	1.3537	75.21925
20	2-Bromopropane	9.46	122.992	1.314	75.16088
21	Butanal	13.45	72.106	0.8016	75.40980
22	ButanoicAcid	2.98	88.106	0.9528	83.24529
23	1-Butanol	17.84	74.121	0.8095	79.58692
24	2-Butanol	17.26	74.121	0.8063	79.62373
25	Butanone	18.56	72.106	0.7999	75.31973
26	Butyronitrile	24.83	69.106	0.7936	74.01390
27	Butylamine	4.71	73.137	0.7414	82.21788
28	n-Butylbenzene	2.359	134.218	0.8601	139.97337
29	sec-Butylbenzene	2.357	134.218	0.8621	139.87142
30	tert-Butylbenzene	2.359	134.218	0.8665	139.42763
31	ButylAcetate	5.07	116.158	0.8825	114.21527
32	CarbonDisulfide	2.632	76.141	1.2632	52.39102
33	CarbonTetrachloride	2.2379	153.823	1.594	84.07036
34	Chlorobenzene	5.6895	112.557	1.1058	93.33884
35	2-Chlorobutane	8.564	92.567	0.8857	86.09736
36	Chloroform	4.8069	119.378	1.4788	69.55309
37	1-Chlorohexane	6.104	120.62	0.8781	116.77591
38	1-Chloropentane	6.654	106.594	0.882	101.47300
39	1-Chloropropane	8.588	78.541	0.8899	70.86632
40	m-Chlorotoluene	5.763	126.584	1.075	108.54597
41	o-Chlorotoluene	4.721	126.584	1.0825	108.41211
42	p-Chlorotoluene	6.25	126.584	1.0697	108.54838
43	m-Cresol	12.44	108.138	1.0339	102.01397
44	o-Cresol	6.76	108.138	1.0327	101.91206
45	Cyclohexane	2.0243	84.159	0.7739	92.14545
46	Cyclohexanone	16.1	98.142	0.9478	96.22235
47	Cyclopentane	1.9687	70.133	0.7457	77.71295
48	Cyclopentanol	18.5	86.132	0.9488	85.91025
49	Cyclopentanone	13.58	84.117	0.9487	81.64595
50	cis-Decalin	2.219	138.25	0.8965	143.46711
51	trans-Decalin	2.184	138.25	0.8659	143.34830
52	n-Decane	1.9853	142.282	0.7266	163.17077
53	1-Decanol	7.93	158.281	0.8297	171.40998
54	1,2-Dibromoethane	4.9612	187.861	2.1683	79.08086
55	DibutylEther	3.083	130.228	0.7684	141.11861
56	o-Dichlorobenzene	10.12	147.002	1.3059	107.60603
57	1,1-Dichloroethane	10.1	98.959	1.1757	70.21203
58	1,2-Dichloroethane	10.42	98.959	1.2454	70.35076
59	E-1,2-Dichloroethene	2.14	96.943	1.2565	65.67799
60	Z-1,2-Dichloroethene	9.2	96.943	1.2837	65.51438
61	Dichloromethane	8.93	84.933	1.3266	54.98110
62	Diethylamine	3.68	73.137	0.7056	82.55255
63	DiethylEther	4.2666	74.121	0.7138	79.92272
64	DiethylSulfide	5.723	90.187	0.8362	90.09090
65	Diiodomethane	5.32	267.836	3.3211	76.37711
66	DiisopropylEther	3.805	102.174	0.7192	110.56406
67	N,N-Dimethylacetamide	38.85	87.12	0.9372	86.15812
68	DimethylDisulfide	9.6	94.199	1.0625	78.21523
69	N,N-Dimethylformamide	38.25	73.094	0.9445	71.21275
70	2,4-Dimethylpentane	1.902	100.202	0.6727	117.05979
71	2,4-Dimethylpyridine	9.6	107.153	0.9309	105.21577
72	2,6-Dimethylpyridine	7.33	107.153	0.9226	105.22189
73	DimethylSulfoxide	47.24	78.133	1.101	67.36133
74	1,4-Dioxane	2.2189	88.106	1.0337	79.04388
75	n-Dodecane	2.012	170.334	0.7495	193.77982
76	DiphenylEther	3.726	170.206	1.06613	155.63985
77	Dipropylamine	2.923	101.19	0.74	113.14732
78	1,2-Ethanediol	41.4	62.068	1.1135	57.27772
79	Ethanethiol	6.667	62.134	0.8315	59.09808
80	Ethanol	25.3	46.068	0.7893	48.99249
81	Ethylbenzene	2.4463	106.165	0.8626	109.37729
82	Ethylene	1.4833	28.053	0.5678	36.72372
83	EthylAcetate	6.0814	88.106	0.9003	83.62411
84	EthylFormate	8.57	74.079	0.9208	68.46767
85	EthylPhenylEther	4.216	122.164	0.9651	117.68240
86	Fluorobenzene	5.465	96.102	1.0225	84.22644
87	1-Fluorooctane	3.89	132.219	0.8116	138.18822
88	Formamide	111	45.041	1.1334	39.80959
89	FormicAcid	51.1	46.026	1.22	37.43703
90	Helium	1.055683	4.0026	0.1412269	11.49000
91	Heptane	1.9209	100.202	0.6795	117.25900
92	1-Heptanol	11.75	116.201	0.8219	125.49670
93	2-Heptanone	11.95	114.185	0.8111	121.23018
94	4-Heptanone	12.6	114.185	0.8174	121.17530
95	n-Hexadecane	2.046	226.441	0.7701	254.99661
96	1,1,1,3,3,3-Hexafluoro-2-propanol	16.7	168.037	1.46	96.47778
97	n-Hexane	1.8865	86.175	0.6606	101.95402
98	HexanoicAcid	2.6	116.158	0.9212	113.76298
99	1-Hexanol	13.03	102.174	0.8136	110.19263
100	2-Hexanone	14.56	100.158	0.81132	105.92729
101	1-Hexene	2.077	84.159	0.6685	97.81671
102	1-Hexyne	2.621	82.143	0.7155	94.06912
103	Iodobenzene	4.59	204.008	1.8308	103.99951
104	1-Iodobutane	6.27	184.018	1.6154	96.88768
105	Iodoethane	7.82	155.965	1.9357	66.29161
106	1-Iodohexadecane	3.57	352.337	1.1213	280.53433
107	Iodomethane	6.97	141.939	2.2789	50.95768
108	1-Iodopentane	5.78	198.045	1.5161	112.19105
109	1-Iodopropane	7.07	169.992	1.7489	81.58279
110	Isopentane	1.845	72.149	0.6201	86.55632
111	Isopropylbenzene	2.381	120.191	0.864	124.60548
112	p-Isopropyltoluene	2.2322	134.218	0.8573	139.81429
113	Isoquinoline	11	129.159	1.091	117.08406
114	Krypton	1.664	83.8	2.418	34.53000
115	Mesitylene	2.279	120.191	0.8615	124.47245
116	Methanol	33	32.042	0.7914	33.73600
117	2-Methoxyethanol	17.2	76.095	0.9647	72.93770
118	N-Methylaniline	5.96	107.153	0.9891	104.88277
119	MethylBenzoate	6.642	136.149	1.0837	121.46545
120	MethylButyrate	5.48	102.132	0.8984	98.87880
121	Methylcyclohexane	2.024	98.186	0.7694	107.34109
122	MethylAcetate	7.07	74.079	0.9342	68.33458
123	MethylFormate	9.2	60.052	0.9713	53.18240
124	2-Methylpentane	1.886	86.175	0.65	101.86999
125	4-Methyl-2-pentanone	13.11	100.158	0.7965	105.86561
126	MethylPropionate	6.2	88.106	0.915	83.57572
127	2-Methyl-1-propanol	17.93	74.121	0.8018	79.52817
128	2-Methyl-2-propanol	12.47	74.121	0.7887	79.43943
129	2-Methylpyridine	10.18	93.127	0.9443	90.02930
130	3-Methylpyridine	11.1	93.127	0.9566	90.03820
131	4-Methylpyridine	12.2	93.127	0.9548	90.02512
132	Neon	1.1907	20.18	1.204	15.30000
133	Nitrobenzene	35.6	123.11	1.2037	102.14027
134	Nitroethane	29.11	75.067	1.0448	64.32785
135	Nitromethane	37.27	61.041	1.1371	49.17919
136	1-Nitropropane	24.7	89.094	0.9961	79.62610
137	2-Nitropropane	26.74	89.094	0.9821	79.72092
138	o-Nitrotoluene	26.26	137.137	1.1611	117.14271
139	n-Nonane	1.9722	128.255	0.7192	147.86736
140	1-Nonanol	8.83	144.254	0.828	156.10495
141	5-Nonanone	10.6	142.238	0.8217	151.77623
142	n-Octane	1.948	114.229	0.6986	132.56247
143	n-Octanol	10.3	130.228	0.8262	140.80118
144	2-Octanone	9.51	128.212	0.82	136.53398
145	n-Pentadecane	2.0391	212.415	0.7685	239.69240
146	Pentanal	10	86.132	0.8095	90.70875
147	n-Pentane	1.8371	72.149	0.6262	86.65017
148	PentanoicAcid	2.661	102.132	0.9339	98.46006
149	1-Pentanol	15.13	88.148	0.8144	94.88834
150	2-Pentanone	15.45	86.132	0.809	90.62824
151	3-Pentanone	17	86.132	0.8098	90.55103
152	1-Pentene	2.011	70.133	0.6405	82.51459
153	Pentylamine	4.27	87.164	0.7544	97.52146
154	PentylAcetate	4.79	130.185	0.8756	129.51715
155	Hexafluorobenzene	2.029	186.054	1.6184	110.99378
156	Propanal	18.5	58.079	0.8657	60.10131
157	PropanoicAcid	3.44	74.079	0.9882	67.85999
158	1-Propanol	20.8	60.095	0.7997	64.28126
159	2-Propanol	20.18	60.095	0.7809	64.25104
160	Propionitrile	29.7	55.079	0.7818	58.72664
161	AllylAlcohol	19.7	58.079	0.854	60.19043
162	Propylamine	5.08	59.11	0.7173	66.90769
163	PropylAcetate	5.62	102.132	0.8878	98.91204
164	Pyridine	13.26	79.101	0.9819	74.83940
165	Quinoline	9.16	129.159	1.0977	117.09612
166	Tetrachloroethene	2.268	165.833	1.623	94.07969
167	Tetrahydrofuran	7.52	72.106	0.8833	71.09638
168	Tetralin	2.771	132.202	0.9645	130.02812
169	Thiophene	2.739	84.14	1.0649	71.49764
170	Thiophenol	4.26	110.177	1.0775	96.88016
171	Toluene	2.379	92.139	0.8668	94.06404
172	1,1,1-Trichloroethane	7.243	133.404	1.339	84.75652
173	1,1,2-Trichloroethane	7.1937	133.404	1.4397	84.90524
174	Trichloroethene	3.39	131.388	1.4642	79.89702
175	Triethylamine	2.418	101.19	0.7275	113.31907
176	2,2,2-Trifluoroethanol	27.68	100.039	1.3842	65.12802
177	1,2,4-Trimethylbenzene	2.377	120.191	0.8758	124.33512
178	2,2,4-Trimethylpentane	1.943	114.229	0.6878	132.16846
179	n-Undecane	1.9972	156.309	0.7402	178.47439
180	Water	80.1	18.015	0.998	17.69048
181	Xenon	1.88	131.29	2.953	42.21000
182	m-Xylene	2.359	106.165	0.8596	109.27065
183	o-Xylene	2.562	106.165	0.8802	109.12227
184	p-Xylene	2.2735	106.165	0.8566	109.27308
185	diglyme		7.23	134.173	0.94342	127.81205
186	decalin		2.201	138.25	0.8812	143.40771
187	1-decene	2.136	140.266	0.7408	159.03140
