Entry	Name	Permitivity	MolarMass	Density	vdW-Volume
1	Acetaldehyde	21	44.052	0.7834	45.03478
2	AceticAcid	6.2	60.052	1.0446	52.75890
3	Acetone	21.01	58.079	0.7845	60.34719
4	Acetonitrile	36.64	41.052	0.7857	43.58847
5	AcetoPhenone	17.44	120.149	1.0281	113.88911
6	Aniline	7.06	93.127	1.0217	89.82024
7	Anisole	4.3	108.138	0.994	102.98562
8	Argon	1.3247	39.948	1.396	27.83
9	Benzaldehyde	17.85	106.122	1.0401	98.71141
10	Benzene	2.2825	78.112	0.8765	79.39943
11	BenzoNitrile	25.9	103.122	1.0093	97.28692
12	BenzylAlcohol	11.916	108.138	1.0419	102.89491
13	BromoBenzene	5.45	157.008	1.495	98.13651
14	BromoEthane	9.01	108.965	1.4604	60.02194
15	Bromoform	4.404	252.731	2.8788	82.56945
16	1-Bromo-2-MethylPropane	7.7	137.018	1.272	90.66812
17	1-BromoOctane	5.0957	193.125	1.1072	152.22726
18	1-BromoPentane	6.31	151.045	1.2182	106.11530
19	1-BromoPropane	8.09	122.992	1.3537	75.37092
20	2-BromoPropane	9.46	122.992	1.314	75.36099
21	Butanal	13.45	72.106	0.8016	75.71264
22	ButanoicAcid	2.98	88.106	0.9528	83.50254
23	1-Butanol	17.84	74.121	0.8095	79.88075
24	2-Butanol	17.26	74.121	0.8063	79.91375
25	Butanone	18.56	72.106	0.7999	75.61252
26	ButanoNitrile	24.83	69.106	0.7936	74.36300
27	ButylAmine	4.71	73.137	0.7414	82.59259
28	n-ButylBenzene	2.359	134.218	0.8601	140.81101
29	sec-ButylBenzene	2.357	134.218	0.8621	140.73212
30	tert-ButylBenzene	2.359	134.218	0.8665	140.30282
31	ButylEthanoate	5.07	116.158	0.8825	114.57524
32	CarbonDiSulfide	2.632	76.141	1.2632	52.54299
33	CarbonTetraChloride	2.2379	153.823	1.594	84.40146
34	ChloroBenzene	5.6895	112.557	1.1058	93.87718
35	2-ChloroButane	8.564	92.567	0.8857	86.45132
36	Chloroform	4.8069	119.378	1.4788	69.73108
37	1-ChloroHexane	6.104	120.62	0.8781	117.22397
38	1-ChloroPentane	6.654	106.594	0.882	101.85610
39	1-ChloroPropane	8.588	78.541	0.8899	71.11584
40	m-ChloroToluene	5.763	126.584	1.075	109.17177
41	o-ChloroToluene	4.721	126.584	1.0825	109.03247
42	p-ChloroToluene	6.25	126.584	1.0697	109.17842
43	m-Cresol	12.44	108.138	1.0339	102.59888
44	o-Cresol	6.76	108.138	1.0327	102.47565
45	CycloHexane	2.0243	84.159	0.7739	92.59001
46	CycloHexanone	16.1	98.142	0.9478	96.61887
47	CycloPentane	1.9687	70.133	0.7457	78.08936
